IsActual|CreatedByUserId|CreatedByUserName|Created|LastModifiedByUserId|LastModifiedByUserName|Address|LastModified
False|0FC6551C-FA7E-DA52-BB88-8962F6DDFB31|Jackson Myers|2020-03-03|171DB21A-822F-F8A1-ACE5-C28D4684CF34|Raphael Sears|411-7120 Nisi Rd.|2021-08-19
True|B4AD79AE-5D64-4EB2-10F1-B5570B75F3F4|Hoyt Miles|2020-11-25|B050BDF6-46C5-4E17-064E-72EF562DCA89|Walker Fischer|659-634 Mattis. Avenue|2020-03-27
False|7234C95B-0F16-3D61-4F07-75C201D5116C|Zachery Young|2020-12-18|1123BBC5-9E01-F739-2041-FB69D5D019F0|Timothy Flynn|Ap #625-8657 Arcu Street|2021-01-02
True|BE18C15D-3CDE-61B4-C6CA-42C04C6AAF6C|Ryan Gonzales|2021-06-21|A94545F6-3E07-3BD9-5425-D1B03896B3C4|Devin Macias|P.O. Box 821, 2704 At Avenue|2020-01-23
False|5C254AE4-3DA7-21F4-F171-456DD02DB65A|Ryder Stanley|2021-03-30|BD011940-116E-A365-749B-1275B19B9C6C|Christopher Mcpherson|Ap #323-8863 Diam St.|2021-10-08
False|7A2FC8AE-8861-DD67-CD5B-3DECDBFEB89D|Andrew Watson|2020-08-31|E6B673E1-09EB-F75B-9F7B-C3D51A0B86F0|Patrick Snider|298-8032 Diam Ave|2020-01-06
True|2240C3A8-E9F2-9D2B-D883-758ADA65BD7C|Finn Baxter|2021-08-19|6FE5E0B5-A319-A7E7-E9EE-266E3D8B9965|Dillon Witt|775-4180 Nec, Road|2021-04-29
False|A2AF41D3-9F0B-FF9F-AB69-E0A2BFBF9F66|Levi Beasley|2019-12-27|8E03D390-6C89-87E5-DE9C-BA791A852323|Darius Owen|P.O. Box 471, 5483 Et, Road|2020-02-22
True|1E673163-E9A7-7764-5145-4CCF6B721784|Brennan Anderson|2019-12-27|CDDDB3E7-8A11-C339-419A-A389B3B58818|Brody Pope|Ap #189-2783 Nam Avenue|2020-06-12
False|02D63534-0293-D6E0-4E82-1CBD4D86B9D6|Martin Emerson|2020-06-12|7FB5F9B6-8A46-599B-C715-011EDFB34D3E|Judah Peters|8787 Rhoncus. Rd.|2021-05-25
True|4BD5AB3D-2549-D93C-F94C-97F135D8719B|Otto Hardin|2020-03-06|DA7DA258-C07D-FD0B-DEBA-2C4C4921AC35|Sylvester Pollard|254-1729 Orci Rd.|2020-05-13
False|14E0E539-D1AC-65FC-94BD-BE88B06EA49D|Hedley Taylor|2020-02-13|5E08A550-C30C-984F-23CE-2143337BFC8E|Lester Frost|Ap #331-1776 Eleifend, St.|2021-09-22
False|5763119F-572C-80C8-F501-B9F2B6AF1670|Coby Wright|2021-02-27|6E2876C5-EC0F-55D5-DC6B-485CFD3F703F|Colorado Payne|8274 Magnis Road|2020-10-10
False|492C78C8-DABD-1549-3FBF-73331F25A4B8|Philip Castro|2021-02-17|19444CC7-B3AA-0362-0A09-FC0390C1E387|Zachery Odom|P.O. Box 444, 2556 Vitae Av.|2020-10-06
True|2F7F20BF-4EA3-35EE-6F6E-B27581EE494C|Fletcher Gonzales|2021-05-03|ABF9B837-56FF-33B2-EF16-236E90FA169B|Asher Dunn|2810 Habitant Rd.|2021-01-29
False|BF456572-4C59-E65F-416D-4E8AAE59AF59|Jared Robinson|2021-06-14|A23B10CB-5BA3-0D5B-6AB6-1F7914283630|Slade Myers|Ap #981-3563 Ac Ave|2020-06-09
True|60109A5E-37B0-BAA2-3967-81A117B68E85|Axel Sanford|2019-12-16|6DA2B90E-68B5-C9E9-F2B4-DB132029873C|Tiger Bryan|1417 Est Rd.|2021-07-22
True|27577060-0095-FB7A-D708-164845895604|Kennan Watson|2020-12-09|E2690279-D449-E11D-9895-294F537AEA93|Thane Mercer|Ap #620-4856 Et, Avenue|2020-10-15
True|363C9CC1-C2D3-7ABD-46BE-EB61EEE5D584|Lucian Potter|2021-03-02|9DFB4759-4D14-745D-E52F-EE3246F6491E|Hammett Armstrong|3012 Volutpat Road|2020-05-25
True|CDB80E3B-781D-AA14-BE40-D8DCD068A806|Ethan Tillman|2020-05-07|E6E1E902-D0D4-0A8B-6842-60ACEF071A7B|Dillon Dickson|143-577 Congue Street|2020-01-18
False|3FF16629-A292-5C5D-31CC-604A54E01EA6|Todd Paul|2021-06-01|E2D2E5E2-2D84-7B06-4CEC-1C65286712FC|Vincent Underwood|202-7756 Dui. Ave|2021-08-02
True|4C379A00-8E68-DA73-581F-4F8B9CEE1676|Quentin Strong|2020-05-18|7B831F61-D349-08B4-0B2F-07C9A30F81A1|Reuben Barr|3468 Pellentesque St.|2020-03-19
True|51D67519-10CC-2980-5982-313F65AD5B6D|Castor Brennan|2020-01-01|ACF81E7C-D4D8-E99A-EDAD-08BDB0E19F8E|Griffin Dillard|4747 In Street|2020-08-24
True|83943EEA-EAA4-F1FD-8DA9-160677D3F472|Merrill Williamson|2021-07-29|16EF8325-474E-874B-909A-3B765B9E8939|Lucian Benjamin|5772 Convallis Rd.|2021-07-11
False|7B27AB0F-DF9F-B59E-DC6F-EC6C3BE74C03|Philip Aguirre|2021-05-15|CD7EC9B8-C598-1E79-1017-A3983BA2744B|Dennis Reynolds|989-4329 Ligula. Av.|2021-10-15
False|940C4AB9-B6FF-0EC2-69A1-2DB1A2887940|Nero Matthews|2021-06-03|F05B3D37-A67E-0ED7-86F5-CA4C2E9DF779|Emerson Suarez|655-9167 Proin Av.|2021-09-22
True|BC099FF6-FE5C-E2D0-D19A-6F35264CD5D9|Brent Fletcher|2020-06-07|4277B3CD-D5E3-6E97-4CC4-D29A6A39CD15|Mark Roy|P.O. Box 692, 7654 Orci, Avenue|2020-05-12
True|86A52A2F-3CB3-7898-D850-07C51585E16B|Barclay Herring|2021-08-05|C12D42D4-F6A6-F5D9-6CB2-C3D7D52E583E|Colorado Bartlett|P.O. Box 326, 3098 Feugiat. St.|2020-10-30
True|FBD5C625-546F-A4E9-CD5E-168B805D302F|Mufutau Garrison|2020-10-10|0B59AF65-68E8-422B-B2B1-F9976A9D6395|Lamar Baird|767-595 Quam Rd.|2020-03-21
False|7B4DA773-8C18-FA2C-E5D4-058AFF5F6EEB|John Olsen|2020-09-05|73CF8BDD-38B4-13BD-9198-CE47C9E1D0F2|Chandler Manning|Ap #433-8862 Justo. Rd.|2020-11-26
False|F0AF91D2-EC64-2865-392A-CF957610D861|Slade Farmer|2021-06-05|49146D2C-EBF4-A3BA-5572-CEDBD4EAB06B|Coby Dorsey|Ap #293-2802 Duis Rd.|2021-01-04
True|C9B8BD8A-7273-8265-650A-5009A7046BEB|Kermit Fleming|2020-01-13|1E83796B-F459-2E1C-F4E7-FFB6AB3740F6|Malik Hamilton|P.O. Box 666, 3351 Duis St.|2021-03-10
False|D48D6FC8-DFCA-6C81-EACF-30172E03DE79|Colby Green|2020-04-03|C17C5CD0-C4FF-374A-AF1C-B0ED12A87C92|James Cooley|Ap #922-8452 Enim. Av.|2019-12-25
False|3D6C105F-0C9B-0493-24CA-9032D8A9561C|Lionel Blackwell|2021-07-12|8430D926-6152-B970-75DA-3A7E928F7403|Channing Alexander|Ap #943-8148 Enim. Road|2020-08-16
